RPT_PERIOD,R_S_NAME,PROD_NAME,PORT_CITY,PORT_STATE,GCTRY_CODE,CNTRY_NAME,QUANTITY,SULFUR
Jan-00,"AMOCO OIL CO","CRUDE OIL","GALVESTON, TX",TEXAS,785,"SAUDI ARABIA",2116,0.89
Jan-00,"AMOCO OIL CO","CRUDE OIL","GALVESTON, TX",TEXAS,415,GUATEMALA,714,5.77
Jan-00,"AMOCO OIL CO","CRUDE OIL","GALVESTON, TX",TEXAS,285,COLOMBIA,1099,0.26
Jan-00,"AMOCO OIL CO","CRUDE OIL","GALVESTON, TX",TEXAS,520,KUWAIT,999,3.95
Jan-00,"AMOCO OIL CO","CRUDE OIL","GALVESTON, TX",TEXAS,670,NIGERIA,926,0.18
Jan-00,"AMOCO OIL CO","CRUDE OIL","GALVESTON, TX",TEXAS,887,"TRINIDAD & TOBAGO",2197,0.25
Jan-00,"AMOCO OIL CO","CRUDE OIL","GALVESTON, TX",TEXAS,595,MEXICO,2589,3.35
Jan-00,"LYONDELL CITGO REFG LP","CRUDE OIL","GALVESTON, TX",TEXAS,940,VENEZUELA,510,2.16
Jan-00,"LYONDELL CITGO REFG LP","CRUDE OIL","GALVESTON, TX",TEXAS,940,VENEZUELA,516,2.84
Jan-00,"LYONDELL CITGO REFG LP","CRUDE OIL","GALVESTON, TX",TEXAS,940,VENEZUELA,502,2.87
Jan-00,"LYONDELL CITGO REFG LP","CRUDE OIL","GALVESTON, TX",TEXAS,940,VENEZUELA,538,2.87
Jan-00,"LYONDELL CITGO REFG LP","CRUDE OIL","GALVESTON, TX",TEXAS,785,"SAUDI ARABIA",495,3.87
Jan-00,"LYONDELL CITGO REFG LP","CRUDE OIL","GALVESTON, TX",TEXAS,940,VENEZUELA,503,2.84
Jan-00,"LYONDELL CITGO REFG LP","CRUDE OIL","GALVESTON, TX",TEXAS,940,VENEZUELA,503,2.85
Jan-00,"LYONDELL CITGO REFG LP","CRUDE OIL","GALVESTON, TX",TEXAS,940,VENEZUELA,484,2.6
Jan-00,"LYONDELL CITGO REFG LP","CRUDE OIL","GALVESTON, TX",TEXAS,940,VENEZUELA,500,2.85
